Timestamp,pos_eci_x,pos_eci_y,pos_eci_z,vel_eci_x,vel_eci_y,vel_eci_z
2021-07-02 09:29:53.712000+00:00,-2128488.588,1079053.375,6475639.154,-4586.57798,5544.737784,-2434.936363
2021-07-02 09:29:54.712000+00:00,-2133073.875,1084597.462,6473200.311,-4584.005794,5543.433047,-2442.773858
2021-07-02 09:29:55.712000+00:00,-2137656.588,1090140.242,6470753.632,-4581.430186,5542.122147,-2450.609082
2021-07-02 09:29:56.712000+00:00,-2142236.723,1095681.706,6468299.122,-4578.849208,5540.803307,-2458.436011
2021-07-02 09:29:57.712000+00:00,-2146814.387,1101221.984,6465836.723,-4576.260634,5539.477613,-2466.264175
2021-07-02 09:29:58.712000+00:00,-2151389.231,1106760.656,6463366.624,-4573.668103,5538.146497,-2474.085855
2021-07-02 09:29:59.712000+00:00,-2155961.593,1112298.131,6460888.641,-4571.068978,5536.807411,-2481.906903
2021-07-02 09:30:00.712000+00:00,-2160531.356,1117834.263,6458402.839,-4568.467248,5535.463439,-2489.725375
2021-07-02 09:30:01.712000+00:00,-2165098.512,1123369.046,6455909.221,-4565.856979,5534.110455,-2497.540568
2021-07-02 09:30:02.712000+00:00,-2169663.056,1128902.472,6453407.789,-4563.243641,5532.751935,-2505.35283
2021-07-02 09:30:03.712000+00:00,-2174224.979,1134434.536,6450898.547,-4560.618519,5531.387005,-2513.162854
2021-07-02 09:30:04.712000+00:00,-2178784.275,1139965.229,6448381.498,-4557.990267,5530.015093,-2520.969742
2021-07-02 09:30:05.712000+00:00,-2183340.94,1145494.547,6445856.644,-4555.35581,5528.635884,-2528.774828
2021-07-02 09:30:06.712000+00:00,-2187895.194,1151022.757,6443323.862,-4552.714717,5527.249602,-2536.574823
2021-07-02 09:30:07.712000+00:00,-2192446.354,1156549.024,6440783.537,-4550.074653,5525.857644,-2544.370545
2021-07-02 09:30:10.712000+00:00,-2206084.593,1173120.244,6433115.412,-4542.107793,5521.639286,-2567.748496
2021-07-02 09:30:11.712000+00:00,-2210625.353,1178641.159,6430543.791,-4539.442745,5520.219555,-2575.533796
2021-07-02 09:30:12.712000+00:00,-2215163.481,1184160.701,6427964.422,-4536.767479,5518.790248,-2583.319552
2021-07-02 09:30:13.712000+00:00,-2219698.928,1189678.806,6425377.266,-4534.086916,5517.353954,-2591.100174
2021-07-02 09:30:17.712000+00:00,-2237813.953,1211736.905,6414950.799,-4523.321479,5511.55556,-2622.186387
